Name,Icon
Add New,plus
Alert Error,alert-error
Alert Info,info
Alert Success,check-circle
Alert Warning,alert-warning
Attachment,paperclip
Avatar,user-solo
Back,chevron-left
Conversation,speech-bubble-conversation
Close,close
Dashboard,panels
Delete,trash
Edit,pencil
Email,email
Emoji,smiley
External Link,new-window
Favorite,star
Filter,filter
Hide Left,chevron-left
Hide Down,chevron-down
Hide Up,chevron-up
History,history
Home,home
Info,info
Language,globe
Pagination Left,arrow-left
Link,link
Macro,lightning
Message,speech-bubble-plain
Notes,notes
Notification,notification
Overflow,overflow-vertical
Phone,phone
Rearrange,grip
Redo,edit-redo
Refresh,reload
Pagination Right,arrow-right
Search,search
Settings,gear
Sort,sort
Tag,tag
Text,text
Time Zone,clock
Undo,edit-undo
